rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
8169	CASP5	caspase 5, apoptosis-related cysteine peptidase	745045	14	13	14	4	1	6	3	0	4	0	0.675	0.605	0.567	0.206	0.546	0.736	1.000
8170	SPCS2	signal peptidase complex subunit 2 homolog (S. cerevisiae)	259160	1	1	1	1	0	1	0	0	0	0	0.736	0.916	NaN	NaN	NaN	0.736	1.000
8171	USP15	ubiquitin specific peptidase 15	1528708	10	10	10	2	0	5	2	1	2	0	0.906	0.649	0.254	0.544	0.407	0.736	1.000
8172	NCEH1	neutral cholesterol ester hydrolase 1	743951	3	3	3	2	0	1	1	0	1	0	0.990	0.964	0.779	0.0920	0.372	0.736	1.000
8173	SNX2	sorting nexin 2	828142	6	5	6	0	0	3	2	0	1	0	0.670	0.378	0.368	0.721	0.550	0.736	1.000
8174	IPP	intracisternal A particle-promoted polypeptide	967836	8	6	7	3	1	1	2	1	3	0	0.942	0.916	0.278	0.625	0.392	0.737	1.000
8175	C1orf100	chromosome 1 open reading frame 100	250693	1	1	1	1	1	0	0	0	0	0	0.737	0.936	NaN	NaN	NaN	0.737	1.000
8176	C7orf31	chromosome 7 open reading frame 31	957731	6	6	6	1	0	3	1	1	1	0	0.715	0.670	0.662	0.235	0.516	0.737	1.000
8177	GPR137B	G protein-coupled receptor 137B	624748	6	6	6	1	0	3	1	0	2	0	0.369	0.468	0.633	0.677	1.000	0.737	1.000
8178	EVPLL	envoplakin-like	168742	1	1	1	3	0	0	0	0	1	0	0.737	0.997	NaN	NaN	NaN	0.737	1.000
8179	OVCA2	ovarian tumor suppressor candidate 2	260752	1	1	1	0	0	1	0	0	0	0	0.737	0.708	NaN	NaN	NaN	0.737	1.000
8180	SLPI	secretory leukocyte peptidase inhibitor	226033	1	1	1	1	0	0	1	0	0	0	0.737	0.963	NaN	NaN	NaN	0.737	1.000
8181	PCK1	phosphoenolpyruvate carboxykinase 1 (soluble)	1036845	21	21	21	10	4	11	1	1	4	0	1.000	0.712	0.246	0.509	0.369	0.737	1.000
8182	ARID3C	AT rich interactive domain 3C (BRIGHT-like)	479772	8	7	8	2	0	7	0	0	1	0	0.450	0.424	0.540	0.831	0.821	0.737	1.000
8183	INHBE	inhibin, beta E	577122	5	5	5	1	2	1	1	1	0	0	0.473	0.485	0.593	0.642	0.780	0.737	1.000
8184	ASB2	ankyrin repeat and SOCS box-containing 2	857402	13	13	13	4	2	4	3	3	1	0	0.675	0.515	0.439	0.343	0.548	0.737	1.000
8185	CCDC83	coiled-coil domain containing 83	743968	9	9	9	3	0	8	1	0	0	0	0.974	0.746	0.886	0.125	0.380	0.737	1.000
8186	CTSA	cathepsin A	807906	4	4	4	2	0	2	0	0	1	1	0.969	0.669	0.476	0.215	0.382	0.738	1.000
8187	TFCP2L1	transcription factor CP2-like 1	756151	3	3	3	1	0	1	1	0	1	0	0.967	0.668	0.400	0.252	0.382	0.738	1.000
8188	TTC23L	tetratricopeptide repeat domain 23-like	578283	6	5	6	2	0	2	2	0	2	0	0.646	0.747	0.350	0.717	0.572	0.738	1.000
8189	C11orf45	chromosome 11 open reading frame 45	236017	1	1	1	1	0	0	0	0	1	0	0.738	0.896	NaN	NaN	NaN	0.738	1.000
8190	DGKE	diacylglycerol kinase, epsilon 64kDa	934628	5	5	5	2	2	1	2	0	0	0	0.978	0.780	0.890	0.0844	0.378	0.738	1.000
8191	RAMP1	receptor (G protein-coupled) activity modifying protein 1	208355	1	1	1	1	0	0	0	0	1	0	0.738	0.882	NaN	NaN	NaN	0.738	1.000
8192	HERC5	hect domain and RLD 5	1559378	10	10	10	0	1	0	4	1	4	0	0.665	0.155	0.319	0.797	0.556	0.738	1.000
8193	TATDN3	TatD DNase domain containing 3	478679	4	4	4	1	0	1	1	1	1	0	0.370	0.715	0.665	0.497	1.000	0.738	1.000
8194	HOMER2	homer homolog 2 (Drosophila)	546242	2	2	2	3	0	1	1	0	0	0	1.000	0.977	0.134	0.789	0.370	0.738	1.000
8195	PUS7	pseudouridylate synthase 7 homolog (S. cerevisiae)	1110535	10	10	10	0	1	2	3	2	2	0	0.370	0.118	0.629	0.968	1.000	0.738	1.000
8196	ZNF513	zinc finger protein 513	835505	7	6	7	5	1	2	3	0	1	0	0.998	0.966	0.715	0.147	0.371	0.738	1.000
8197	DOPEY1	dopey family member 1	4052220	9	9	9	6	0	3	2	3	1	0	1.000	0.980	0.253	0.548	0.370	0.738	1.000
8198	PRAMEF12	PRAME family member 12	797880	13	13	13	7	3	9	1	0	0	0	1.000	0.775	0.395	0.231	0.370	0.738	1.000
8199	TCTE1	t-complex-associated-testis-expressed 1	828744	8	7	8	2	0	4	2	0	2	0	0.702	0.379	0.930	0.209	0.528	0.738	1.000
8200	PLIN4	perilipin 4	1864969	10	10	10	6	3	3	3	0	1	0	1.000	0.818	0.790	0.171	0.370	0.738	1.000
8201	PODXL	podocalyxin-like	785731	3	3	3	0	1	1	1	0	0	0	0.963	0.348	0.300	0.524	0.385	0.738	1.000
8202	POU1F1	POU class 1 homeobox 1	504502	4	4	4	1	0	4	0	0	0	0	0.501	0.716	0.994	0.211	0.739	0.738	1.000
8203	ITPR1	inositol 1,4,5-triphosphate receptor, type 1	4019776	20	18	20	4	3	8	3	1	5	0	1.000	0.185	0.236	0.692	0.371	0.738	1.000
8204	OTOP1	otopetrin 1	881839	12	12	12	4	1	6	4	0	1	0	0.826	0.503	0.743	0.158	0.449	0.738	1.000
8205	INA	internexin neuronal intermediate filament protein, alpha	494741	4	4	4	2	0	2	1	0	1	0	0.929	0.709	0.213	0.367	0.399	0.739	1.000
8206	AGR2	anterior gradient homolog 2 (Xenopus laevis)	300936	1	1	1	0	0	0	1	0	0	0	0.739	0.849	NaN	NaN	NaN	0.739	1.000
8207	ZNF521	zinc finger protein 521	2135244	66	52	66	19	6	26	14	8	11	1	1.000	0.466	0.264	0.887	0.371	0.739	1.000
8208	HIBADH	3-hydroxyisobutyrate dehydrogenase	515541	2	2	2	0	0	1	0	0	1	0	0.876	0.636	0.150	0.902	0.423	0.739	1.000
8209	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	558826	2	2	2	2	0	2	0	0	0	0	1.000	0.924	0.277	0.220	0.371	0.739	1.000
8210	EMX1	empty spiracles homeobox 1	195098	3	3	3	0	0	3	0	0	0	0	0.371	0.256	0.615	0.833	1.000	0.739	1.000
8211	CEBPG	CCAAT/enhancer binding protein (C/EBP), gamma	245019	1	1	1	0	0	0	0	0	1	0	0.739	0.744	NaN	NaN	NaN	0.739	1.000
8212	TRIM46	tripartite motif-containing 46	1207170	4	4	4	2	0	2	2	0	0	0	1.000	0.772	0.229	0.291	0.371	0.739	1.000
8213	MFI2	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5	1119861	5	5	5	0	0	1	1	0	3	0	0.964	0.215	0.285	0.283	0.385	0.739	1.000
8214	HIST1H2AM	histone cluster 1, H2am	216360	1	1	1	0	0	1	0	0	0	0	0.739	0.641	NaN	NaN	NaN	0.739	1.000
8215	CST7	cystatin F (leukocystatin)	247363	1	1	1	0	1	0	0	0	0	0	0.739	0.775	NaN	NaN	NaN	0.739	1.000
8216	MRPL16	mitochondrial ribosomal protein L16	418721	4	4	4	1	1	1	1	0	1	0	0.431	0.674	0.610	0.637	0.862	0.739	1.000
8217	RPE	ribulose-5-phosphate-3-epimerase	417977	3	3	3	0	0	0	0	3	0	0	0.433	0.426	0.728	0.527	0.859	0.739	1.000
8218	AQP12A	aquaporin 12A	229416	5	4	5	4	0	3	1	0	1	0	0.690	0.898	0.277	0.398	0.539	0.739	1.000
8219	SLC9A7	solute carrier family 9 (sodium/hydrogen exchanger), member 7	1057222	6	5	6	4	0	2	3	0	1	0	0.999	0.931	0.232	0.377	0.372	0.740	1.000
8220	EFCAB5	EF-hand calcium binding domain 5	2185318	16	16	16	7	0	7	4	2	3	0	1.000	0.950	0.303	0.467	0.372	0.740	1.000
8221	TPRG1L	tumor protein p63 regulated 1-like	299919	3	3	3	0	0	1	1	0	1	0	0.372	0.571	0.761	0.453	1.000	0.740	1.000
8222	PTK2B	PTK2B protein tyrosine kinase 2 beta	1629521	14	13	14	4	5	4	2	1	2	0	0.992	0.372	0.406	0.171	0.375	0.740	1.000
8223	VWA3A	von Willebrand factor A domain containing 3A	1416190	15	15	14	4	3	4	7	1	0	0	0.837	0.544	0.262	0.406	0.444	0.740	1.000
8224	SMEK1	SMEK homolog 1, suppressor of mek1 (Dictyostelium)	1303651	2	2	2	2	0	1	1	0	0	0	1.000	0.977	0.767	0.147	0.372	0.740	1.000
8225	SIL1	SIL1 homolog, endoplasmic reticulum chaperone (S. cerevisiae)	679686	3	3	3	0	0	1	1	0	1	0	0.905	0.475	0.0929	0.819	0.411	0.740	1.000
8226	ALKBH4	alkB, alkylation repair homolog 4 (E. coli)	394255	3	3	3	1	1	1	1	0	0	0	0.717	0.655	0.813	0.164	0.519	0.740	1.000
8227	EIF3B	eukaryotic translation initiation factor 3, subunit B	1042035	8	8	8	2	3	1	2	0	2	0	0.845	0.561	0.270	0.786	0.441	0.741	1.000
8228	RUNX1	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	556035	4	4	4	0	1	1	1	0	1	0	0.721	0.271	0.432	0.709	0.517	0.741	1.000
8229	UGT1A9	UDP glucuronosyltransferase 1 family, polypeptide A9	877780	7	7	7	3	1	2	2	0	2	0	0.955	0.785	0.255	0.716	0.390	0.741	1.000
8230	MAP1B	microtubule-associated protein 1B	3956311	29	24	29	14	3	16	4	2	4	0	1.000	0.931	0.257	0.627	0.373	0.741	1.000
8231	PRMT3	protein arginine methyltransferase 3	867135	8	8	8	2	0	2	1	3	2	0	0.564	0.606	0.928	0.319	0.661	0.741	1.000
8232	TMEM40	transmembrane protein 40	360509	4	4	4	0	0	2	0	0	2	0	0.373	0.410	0.828	0.538	1.000	0.741	1.000
8233	SLC47A1	solute carrier family 47, member 1	889351	4	4	4	3	0	2	1	0	1	0	0.999	0.868	0.193	0.612	0.373	0.741	1.000
8234	FCF1	FCF1 small subunit (SSU) processome component homolog (S. cerevisiae)	323963	1	1	1	0	0	0	0	1	0	0	0.741	0.765	NaN	NaN	NaN	0.741	1.000
8235	OR4N2	olfactory receptor, family 4, subfamily N, member 2	504710	29	28	29	10	2	14	6	3	4	0	1.000	0.381	0.258	0.692	0.373	0.741	1.000
8236	TP53AIP1	tumor protein p53 regulated apoptosis inducing protein 1	179558	2	2	2	0	0	1	0	0	1	0	0.373	0.775	0.522	0.807	1.000	0.741	1.000
8237	LRRC14B	leucine rich repeat containing 14B	442459	3	3	3	2	1	0	2	0	0	0	0.965	0.859	0.123	0.972	0.387	0.741	1.000
8238	GPR133	G protein-coupled receptor 133	1410018	18	16	18	8	3	3	3	3	6	0	0.970	0.873	0.394	0.228	0.385	0.741	1.000
8239	ZC4H2	zinc finger, C4H2 domain containing	371596	5	5	5	3	1	3	1	0	0	0	1.000	0.936	0.651	0.155	0.373	0.741	1.000
8240	LRIG1	leucine-rich repeats and immunoglobulin-like domains 1	1700071	6	6	6	3	0	1	0	2	3	0	1.000	0.931	0.256	0.352	0.373	0.741	1.000
8241	ZNF695	zinc finger protein 695	843770	15	14	14	5	0	7	2	3	3	0	0.909	0.827	0.287	0.315	0.410	0.741	1.000
8242	MYO16	myosin XVI	2694388	42	39	42	12	7	18	13	2	2	0	1.000	0.401	0.216	0.587	0.373	0.741	1.000
8243	BMX	BMX non-receptor tyrosine kinase	1126030	6	6	6	1	1	2	0	1	2	0	0.826	0.545	0.401	0.203	0.452	0.741	1.000
8244	KRT31	keratin 31	696200	14	13	13	7	3	6	3	0	2	0	0.981	0.670	0.327	0.345	0.381	0.741	1.000
8245	MMAA	methylmalonic aciduria (cobalamin deficiency) cblA type	698093	6	6	6	0	1	1	1	1	2	0	0.373	0.208	0.933	0.972	1.000	0.741	1.000
8246	KHNYN	KH and NYN domain containing	1081730	8	8	8	2	1	3	3	0	1	0	0.898	0.587	0.282	0.645	0.416	0.741	1.000
8247	DSCR4	Down syndrome critical region gene 4	198128	2	2	2	0	0	2	0	0	0	0	0.373	0.590	0.969	0.897	1.000	0.741	1.000
8248	PTRH1	peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae)	212041	1	1	1	0	0	0	0	0	1	0	0.741	0.668	NaN	NaN	NaN	0.741	1.000
8249	NDUFB4	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa	233748	1	1	1	1	0	0	0	0	1	0	0.741	0.907	NaN	NaN	NaN	0.741	1.000
8250	TEX2	testis expressed 2	1879393	9	8	9	3	0	2	5	0	2	0	0.999	0.828	0.274	0.375	0.374	0.741	1.000
8251	FLAD1	FAD1 flavin adenine dinucleotide synthetase homolog (S. cerevisiae)	1052999	5	5	5	2	1	2	0	2	0	0	0.987	0.732	0.236	0.803	0.378	0.741	1.000
8252	EFCAB2	EF-hand calcium binding domain 2	262260	1	1	1	0	0	1	0	0	0	0	0.741	0.833	NaN	NaN	NaN	0.741	1.000
8253	OR2V2	olfactory receptor, family 2, subfamily V, member 2	517800	11	10	11	5	1	5	3	1	1	0	0.949	0.798	0.501	0.232	0.394	0.741	1.000
8254	NDUFA6	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa	259911	1	1	1	0	0	0	0	0	1	0	0.741	1.000	NaN	NaN	NaN	0.741	1.000
8255	GPATCH2	G patch domain containing 2	864626	8	8	8	2	0	5	2	1	0	0	0.747	0.705	0.380	0.334	0.500	0.741	1.000
8256	TNK2	tyrosine kinase, non-receptor, 2	1469911	9	9	9	3	3	4	0	0	2	0	0.999	0.514	0.256	0.562	0.374	0.742	1.000
8257	RETSAT	retinol saturase (all-trans-retinol 13,14-reductase)	1020366	11	11	10	5	3	6	0	2	0	0	1.000	0.628	0.240	0.572	0.374	0.742	1.000
8258	LCN8	lipocalin 8	210391	1	1	1	0	1	0	0	0	0	0	0.742	0.657	NaN	NaN	NaN	0.742	1.000
8259	RSRC2	arginine/serine-rich coiled-coil 2	746969	5	5	5	2	0	1	1	0	3	0	0.884	0.904	0.944	0.100	0.423	0.742	1.000
8260	UGT1A4	UDP glucuronosyltransferase 1 family, polypeptide A4	884300	4	4	4	2	0	2	1	0	1	0	0.991	0.850	0.303	0.196	0.377	0.742	1.000
8261	THSD4	thrombospondin, type I, domain containing 4	1466821	12	12	12	0	3	5	2	2	0	0	0.501	0.0288	0.405	0.649	0.747	0.742	1.000
8262	ACRV1	acrosomal vesicle protein 1	443627	4	4	4	1	0	1	2	0	1	0	0.374	0.886	0.679	0.509	1.000	0.742	1.000
8263	ULBP1	UL16 binding protein 1	390982	2	2	2	0	0	1	0	1	0	0	0.815	0.579	0.219	0.932	0.459	0.742	1.000
8264	SALL2	sal-like 2 (Drosophila)	1650548	2	2	2	2	0	1	0	1	0	0	1.000	0.928	0.400	0.125	0.374	0.742	1.000
8265	STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	1399194	2	2	2	2	0	1	1	0	0	0	1.000	0.937	0.290	0.353	0.374	0.742	1.000
8266	TMEM2	transmembrane protein 2	2309600	22	21	22	4	4	9	5	1	3	0	0.820	0.305	0.321	0.741	0.457	0.742	1.000
8267	ZNF557	zinc finger protein 557	713559	3	3	3	1	0	1	1	1	0	0	0.859	0.751	0.411	0.579	0.436	0.742	1.000
8268	P2RY10	purinergic receptor P2Y, G-protein coupled, 10	557652	23	21	23	8	2	11	7	1	2	0	0.879	0.731	0.277	0.316	0.426	0.743	1.000
8269	ASPSCR1	alveolar soft part sarcoma chromosome region, candidate 1	674893	4	4	4	1	0	3	1	0	0	0	0.885	0.566	0.905	0.163	0.424	0.743	1.000
8270	SSBP2	single-stranded DNA binding protein 2	557987	2	2	2	2	0	0	0	0	2	0	0.901	0.997	0.999	0.185	0.416	0.743	1.000
8271	GALC	galactosylceramidase	1086564	9	9	9	0	0	4	2	0	3	0	0.489	0.131	0.599	0.331	0.767	0.743	1.000
8272	CASP10	caspase 10, apoptosis-related cysteine peptidase	958912	7	6	7	0	0	1	3	2	1	0	0.746	0.186	0.283	0.625	0.503	0.743	1.000
8273	MIDN	midnolin	445303	4	4	4	0	0	2	2	0	0	0	0.564	0.283	0.344	0.666	0.665	0.743	1.000
8274	MRPS10	mitochondrial ribosomal protein S10	302012	1	1	1	0	1	0	0	0	0	0	0.743	0.710	NaN	NaN	NaN	0.743	1.000
8275	DPAGT1	dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)	687841	5	5	5	3	0	3	1	0	1	0	0.996	0.828	0.227	0.721	0.377	0.743	1.000
8276	CARD17	caspase recruitment domain family, member 17	187859	2	2	2	0	0	1	0	0	1	0	0.443	0.646	0.757	0.312	0.846	0.743	1.000
8277	GADD45B	growth arrest and DNA-damage-inducible, beta	248269	1	1	1	0	1	0	0	0	0	0	0.743	0.634	NaN	NaN	NaN	0.743	1.000
8278	AKNAD1	AKNA domain containing 1	1384945	13	12	13	1	0	7	1	3	2	0	0.395	0.168	0.859	0.578	0.951	0.743	1.000
8279	PAN3	PAN3 polyA specific ribonuclease subunit homolog (S. cerevisiae)	1237669	4	4	4	0	0	0	1	0	3	0	0.961	0.392	0.289	0.383	0.391	0.743	1.000
8280	BGLAP	bone gamma-carboxyglutamate (gla) protein (osteocalcin)	147658	2	2	2	0	0	1	1	0	0	0	0.375	0.571	0.965	0.611	1.000	0.743	1.000
8281	SCYL2	SCY1-like 2 (S. cerevisiae)	1551169	11	11	11	2	0	5	3	1	2	0	0.850	0.542	0.338	0.761	0.442	0.743	1.000
8282	SFTPD	surfactant, pulmonary-associated protein D	629651	2	2	2	2	0	0	0	1	1	0	0.988	0.985	0.0427	0.306	0.380	0.743	1.000
8283	ERCC3	excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)	1304005	5	5	5	2	1	1	1	2	0	0	0.996	0.801	0.253	0.501	0.377	0.743	1.000
8284	UBAP2L	ubiquitin associated protein 2-like	1827073	19	17	18	2	1	10	3	2	3	0	0.584	0.115	0.466	0.772	0.643	0.743	1.000
8285	APOC4	apolipoprotein C-IV	185009	1	1	1	1	0	1	0	0	0	0	0.743	0.890	NaN	NaN	NaN	0.743	1.000
8286	NPTN	neuroplastin	659437	2	2	2	1	0	1	0	1	0	0	0.919	0.827	0.285	0.827	0.409	0.743	1.000
8287	LILRB3	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3	709610	7	7	7	2	1	2	1	0	3	0	0.679	0.774	0.434	0.751	0.553	0.744	1.000
8288	KIF5A	kinesin family member 5A	1726255	25	23	25	9	4	10	3	0	8	0	0.971	0.625	0.275	0.698	0.387	0.744	1.000
8289	STAMBP	STAM binding protein	713032	4	4	4	0	1	1	0	2	0	0	0.647	0.311	0.974	0.183	0.581	0.744	1.000
8290	ENY2	enhancer of yellow 2 homolog (Drosophila)	174758	2	2	2	0	1	1	0	0	0	0	0.376	0.546	0.953	0.489	1.000	0.744	1.000
8291	OC90	otoconin 90	668536	16	15	16	6	1	7	6	1	1	0	0.893	0.815	0.581	0.148	0.421	0.744	1.000
8292	RPS4Y2	ribosomal protein S4, Y-linked 2	188543	2	2	2	1	0	1	0	0	1	0	0.424	0.934	0.298	0.677	0.888	0.744	1.000
8293	MED15	mediator complex subunit 15	1221971	9	9	9	2	1	5	1	0	2	0	0.928	0.524	0.252	0.848	0.406	0.744	1.000
8294	UBL4B	ubiquitin-like 4B	250349	2	2	2	0	0	1	0	0	1	0	0.636	0.436	0.324	0.325	0.592	0.744	1.000
8295	SYT10	synaptotagmin X	868736	28	27	28	9	3	10	8	3	4	0	0.529	0.653	0.583	0.832	0.711	0.744	1.000
8296	CES1	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	712064	8	8	8	3	1	4	1	1	1	0	0.760	0.682	0.402	0.251	0.495	0.744	1.000
8297	SH2D2A	SH2 domain protein 2A	549537	10	8	9	3	2	4	1	3	0	0	0.451	0.493	0.601	0.725	0.836	0.744	1.000
8298	CA4	carbonic anhydrase IV	479484	6	6	6	2	1	4	0	0	1	0	0.520	0.528	0.504	0.921	0.724	0.744	1.000
8299	ZNF354A	zinc finger protein 354A	984347	8	8	8	1	0	2	4	1	1	0	0.377	0.493	0.669	0.832	1.000	0.744	1.000
8300	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	2426525	20	20	19	4	7	8	0	1	4	0	0.963	0.228	0.506	0.204	0.391	0.744	1.000
8301	MUC6	mucin 6, oligomeric mucus/gel-forming	3014237	27	26	26	9	3	12	8	3	1	0	1.000	0.445	0.220	0.600	0.377	0.745	1.000
8302	SYNM	synemin, intermediate filament protein	1956872	9	9	9	1	1	3	3	0	2	0	0.969	0.355	0.694	0.135	0.389	0.745	1.000
8303	TGM4	transglutaminase 4 (prostate)	1134252	18	16	18	5	1	10	4	2	1	0	0.888	0.448	0.250	0.928	0.424	0.745	1.000
8304	PI3	peptidase inhibitor 3, skin-derived (SKALP)	197290	1	1	1	0	0	0	0	0	1	0	0.745	1.000	NaN	NaN	NaN	0.745	1.000
8305	CCBE1	collagen and calcium binding EGF domains 1	612467	9	9	9	3	2	3	1	1	2	0	0.464	0.610	0.638	0.603	0.812	0.745	1.000
8306	LRFN2	leucine rich repeat and fibronectin type III domain containing 2	1159349	29	27	28	15	9	12	2	4	2	0	1.000	0.760	0.300	0.459	0.377	0.745	1.000
8307	BUD31	BUD31 homolog (S. cerevisiae)	244219	1	1	1	0	0	0	1	0	0	0	0.745	0.881	NaN	NaN	NaN	0.745	1.000
8308	EN2	engrailed homeobox 2	166876	1	1	1	1	1	0	0	0	0	0	0.745	0.869	NaN	NaN	NaN	0.745	1.000
8309	HELB	helicase (DNA) B	1755120	11	11	11	4	2	4	2	1	2	0	1.000	0.778	0.812	0.147	0.377	0.745	1.000
8310	PIGP	phosphatidylinositol glycan anchor biosynthesis, class P	227694	2	2	2	1	0	1	0	0	1	0	0.377	0.859	0.685	0.420	1.000	0.745	1.000
8311	ZNF511	zinc finger protein 511	321287	3	3	3	1	1	1	0	0	1	0	0.377	0.777	0.842	0.668	1.000	0.745	1.000
8312	KCNIP3	Kv channel interacting protein 3, calsenilin	463257	5	5	5	2	0	1	3	1	0	0	0.683	0.820	0.343	0.365	0.553	0.745	1.000
8313	C1GALT1C1	C1GALT1-specific chaperone 1	523705	4	4	4	0	0	2	0	0	2	0	0.522	0.497	0.497	0.715	0.723	0.745	1.000
8314	NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	1377473	9	9	9	6	3	2	2	0	2	0	1.000	0.815	0.272	0.738	0.378	0.745	1.000
8315	C12orf77	chromosome 12 open reading frame 77	234848	2	2	2	2	0	1	1	0	0	0	1.000	0.964	0.537	0.394	0.378	0.745	1.000
8316	LINGO3	leucine rich repeat and Ig domain containing 3	468764	3	3	3	0	0	2	1	0	0	0	0.762	0.220	0.867	0.242	0.496	0.745	1.000
8317	MS4A10	membrane-spanning 4-domains, subfamily A, member 10	446189	5	5	5	3	1	1	0	0	3	0	0.569	0.882	0.556	0.261	0.663	0.745	1.000
8318	SERTAD3	SERTA domain containing 3	320484	3	3	3	0	0	0	1	1	1	0	0.385	0.436	0.537	0.877	0.982	0.746	1.000
8319	GDAP1L1	ganglioside-induced differentiation-associated protein 1-like 1	466571	5	5	5	1	1	2	0	0	2	0	0.378	0.397	0.951	0.786	1.000	0.746	1.000
8320	KLC1	kinesin light chain 1	962656	3	3	3	2	0	0	0	1	2	0	0.993	0.950	0.321	0.0611	0.380	0.746	1.000
8321	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	218631	1	1	1	0	0	1	0	0	0	0	0.746	0.647	NaN	NaN	NaN	0.746	1.000
8322	ECEL1	endothelin converting enzyme-like 1	900653	11	11	11	3	3	5	3	0	0	0	0.869	0.371	0.614	0.259	0.435	0.746	1.000
8323	ARPC1B	actin related protein 2/3 complex, subunit 1B, 41kDa	497053	4	4	4	3	0	0	2	0	2	0	0.898	0.938	0.266	0.936	0.421	0.746	1.000
8324	PAG1	phosphoprotein associated with glycosphingolipid microdomains 1	720755	5	5	5	1	0	1	1	2	1	0	0.680	0.578	0.447	0.429	0.556	0.746	1.000
8325	N4BP2L2	NEDD4 binding protein 2-like 2	1818596	10	10	10	1	0	4	3	3	0	0	0.807	0.353	0.361	0.352	0.469	0.746	1.000
8326	TMEM209	transmembrane protein 209	874126	5	5	5	1	0	1	1	1	2	0	0.698	0.686	0.419	0.699	0.542	0.746	1.000
8327	KIAA1524	KIAA1524	1466208	9	9	9	3	1	2	4	2	0	0	0.998	0.818	0.953	0.114	0.379	0.746	1.000
8328	TCTA	T-cell leukemia translocation altered gene	172776	1	1	1	0	0	1	0	0	0	0	0.746	0.689	NaN	NaN	NaN	0.746	1.000
8329	ZNF70	zinc finger protein 70	732987	8	8	8	0	0	5	1	0	2	0	0.379	0.0709	0.991	0.778	1.000	0.746	1.000
8330	NUFIP2	nuclear fragile X mental retardation protein interacting protein 2	1143877	7	7	7	2	0	3	2	1	1	0	0.918	0.752	0.288	0.389	0.413	0.747	1.000
8331	GATC	glutamyl-tRNA(Gln) amidotransferase, subunit C homolog (bacterial)	231457	1	1	1	0	0	0	0	0	1	0	0.747	1.000	NaN	NaN	NaN	0.747	1.000
8332	IGJ	immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	269993	1	1	1	1	0	0	0	0	1	0	0.747	0.964	NaN	NaN	NaN	0.747	1.000
8333	WNT16	wingless-type MMTV integration site family, member 16	615929	9	8	9	2	1	4	1	0	3	0	0.379	0.458	0.836	0.616	1.000	0.747	1.000
8334	NMD3	NMD3 homolog (S. cerevisiae)	849886	6	6	6	1	0	3	2	0	1	0	0.675	0.709	0.643	0.236	0.561	0.747	1.000
8335	PHC2	polyhomeotic homolog 2 (Drosophila)	1361840	3	3	3	3	0	0	2	1	0	0	1.000	0.978	0.219	0.958	0.379	0.747	1.000
8336	PLEKHH3	pleckstrin homology domain containing, family H (with MyTH4 domain) member 3	813530	5	5	5	1	1	1	2	0	1	0	0.857	0.502	0.289	0.517	0.443	0.747	1.000
8337	BICD2	bicaudal D homolog 2 (Drosophila)	1229942	7	6	7	0	2	1	1	1	2	0	0.969	0.142	0.260	0.394	0.391	0.747	1.000
8338	CDHR2	cadherin-related family member 2	2015776	26	25	26	10	1	11	11	0	3	0	1.000	0.562	0.580	0.140	0.379	0.747	1.000
8339	WSCD2	WSC domain containing 2	920676	28	25	27	12	5	9	6	2	6	0	1.000	0.785	0.333	0.212	0.379	0.747	1.000
8340	KRTAP3-2	keratin associated protein 3-2	164017	2	2	2	1	0	2	0	0	0	0	0.380	0.757	0.593	0.462	1.000	0.747	1.000
8341	ATHL1	ATH1, acid trehalase-like 1 (yeast)	866973	4	3	4	3	0	1	2	0	1	0	0.999	0.943	0.327	0.183	0.380	0.748	1.000
8342	KANK1	KN motif and ankyrin repeat domains 1	2213738	12	11	12	3	1	6	3	1	1	0	0.999	0.491	0.255	0.821	0.381	0.748	1.000
8343	NOM1	nucleolar protein with MIF4G domain 1	1118058	8	7	8	0	0	5	1	2	0	0	0.813	0.104	0.675	0.183	0.467	0.748	1.000
8344	FGA	fibrinogen alpha chain	1422927	20	18	20	7	1	9	2	3	5	0	0.979	0.792	0.199	0.815	0.388	0.748	1.000
8345	SCML1	sex comb on midleg-like 1 (Drosophila)	547098	4	4	4	2	1	1	2	0	0	0	0.931	0.864	0.182	0.974	0.408	0.748	1.000
